time (08.08.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
10:05:19;-18.10;-30.00;-30.03;16.80;-18.60;-18.10;-20.48;18.30;6.80
10:05:21;-18.10;-30.00;-30.02;16.80;-18.60;-18.10;-20.48;18.30;6.80
10:05:23;-18.10;-30.00;-30.02;16.80;-18.60;-18.10;-20.48;18.20;6.90
10:05:25;-18.10;-30.00;-30.03;16.80;-18.60;-18.10;-20.48;18.20;6.90
10:05:27;-18.10;-30.00;-30.03;16.80;-18.60;-18.10;-20.47;18.20;6.90
10:05:29;-18.10;-30.00;-30.03;16.80;-18.60;-18.10;-20.48;18.20;6.80
10:05:31;-18.10;-30.00;-30.01;16.80;-18.60;-18.10;-20.48;18.20;6.90
10:05:33;-18.10;-30.00;-29.99;16.70;-18.60;-18.10;-20.48;18.20;6.80
10:05:35;-18.10;-30.00;-30.00;16.70;-18.60;-18.10;-20.48;18.20;6.80
10:05:37;-18.10;-30.00;-30.00;16.80;-18.60;-18.10;-20.47;18.20;6.80
10:05:39;-18.10;-30.00;-30.00;16.80;-18.60;-18.10;-20.48;18.20;6.90
10:05:41;-18.10;-30.00;-30.00;16.70;-18.60;-18.10;-20.47;18.20;6.90
10:05:43;-18.10;-30.00;-30.00;16.70;-18.60;-18.10;-20.47;18.20;6.80
10:05:45;-18.10;-30.00;-30.01;16.70;-18.60;-18.10;-20.47;18.20;6.80
10:05:47;-18.10;-30.00;-30.01;16.70;-18.60;-18.10;-20.47;18.20;6.90
